あ		expr.	Ah; oh
戻る	もどる	v.(u. i.)	to turn back
木綿	もめん	n.	cotton (material)
森	もり	n.	forest
もし		adv.	if; in case; supposing
申し上げる	もうしあげる	v.(ru. t.)	to say; to offer
申す	もうす	v.(u. t.)	to be called; to say
もうすぐ		adv.	soon
迎える	むかえる	v.(ru. t.)	to go out to meet
昔	むかし	n.	olden days, former
向かう	むかう	v.(u. i.)	to head towards
無理	むり	n.(na-adj. suru)	impossible
虫	むし	n.	insect
息子	むすこ	n.	son
娘	むすめ	n.	daughter
投げる	なげる	v.(ru. t.)	to throw or cast away
泣く	なく	v.(u.)	to weep
無くなる	なくなる	v.(u. i.)	to disappear; to get lost
亡くなる	なくなる	v.(u. i.)	to die
生	なま	n.	raw
直る	なおる	v.(u. i.)	to be fixed,to be repaired
治る	なおる	v.(u. i.)	to be cured; to heal
慣れる	なれる	v.(ru. i.)	to get used to
鳴る	なる	v.(u. i.)	to sound
なるほど		adv.	now I understand
寝坊	ねぼう	n.(suru)	sleeping in late; oversleeping
値段	ねだん	n.	price; cost
眠い	ねむい	adj.(i-adj.)	sleepy
眠る	ねむる	v.(u. i.)	to sleep
熱	ねつ	n.	fever
苦い	にがい	adj.(i-adj.)	bitter
逃げる	にげる	v.(ru. i.)	to escape
二階建て	にかいだて	n.	two-storied building
人形	にんぎょう	n.	doll
匂い	におい	n.	a smell
似る	にる	v.(ru. i.)	to be similar
喉	のど	n.	throat
残る	のこる	v.(u. i.)	to remain
乗り換える	のりかえる	v.(ru. t.)	to change between buses or trains
乗り物	のりもの	n.	vehicle
濡れる	ぬれる	v.(ru. i.)	to get wet
塗る	ぬる	v.(u. t.)	to paint; to plaster
盗む	ぬすむ	v.(u. t.)	to steal
入学	にゅうがく	n.(suru)	entry to school or university; enrollment
入院	にゅういん	n.(suru)	hospitalization
落ちる	おちる	v.(ru. i.)	to fall or drop
踊り	おどり	n.	a dance
驚く	おどろく	v.(u. i.)	to be surprised
踊る	おどる	v.(u. i.)	to dance
お出でになる	おいでになる	v.(u.)	(respectful) to be
お祝い	おいわい	n.(suru)	congratulation
お嬢さん	おじょうさん	n.	(another's) daughter
可笑しい	おかしい	adj.(i-adj.)	strange or funny
行う	おこなう	v.(u. t.)	to perform; to do; to carry out
怒る	おこる	v.(u. i.)	to be angry
起こす	おこす	v.(u. t.)	to wake
